VD_V,measured_covariance,new_dynamic_covariance,static_covariance,measured_r,new_dynamic_r,static_r,dlnI_dGIDLphi,dlnI_dphiE
3.819999999999999840e+00,-1.247660287610943407e-04,-9.785093614692233065e-05,-5.506462712956436238e-04,-2.359156884899923090e-01,-1.850228880386541042e-01,-1.041197636064115306e+00,-1.543404515302881919e-06,7.005731929012881665e+01
3.839999999999999858e+00,-1.245653701013403733e-04,-9.442160272913428516e-05,-5.479975269982618070e-04,-2.384144039132777004e-01,-1.807201320309859693e-01,-1.048850925734415185e+00,2.013890387786432257e-06,6.972032511427528334e+01
3.859999999999999876e+00,-1.275468200491177242e-04,-8.921572067196781352e-05,-5.340084933568279256e-04,-2.393983970514865500e-01,-1.674530224464816641e-01,-1.002304700911187618e+00,2.134160403954865615e-06,6.794053605823080488e+01
3.879999999999999893e+00,-1.260179849783677451e-04,-8.607694556505738562e-05,-5.313652333111991422e-04,-2.283488961045538612e-01,-1.559743674937089652e-01,-9.628519649459534868e-01,5.424512394824887451e-06,6.760423975391560703e+01
3.899999999999999911e+00,-1.257280400817946538e-04,-8.152399234186312655e-05,-5.190285799206219861e-04,-2.173882999282785722e-01,-1.409579127061395543e-01,-8.974190684093110715e-01,5.419214410551376204e-06,6.603467886998615199e+01
3.919999999999999929e+00,-1.462914071923106848e-04,-7.847647733983834995e-05,-5.152818667465269018e-04,-2.653455263057888369e-01,-1.423417997134299728e-01,-9.346259001251384646e-01,7.080080521859599685e-06,6.555799360183911517e+01
3.939999999999999947e+00,-1.393686820547133920e-04,-7.466085947365985157e-05,-5.055893324477164644e-04,-2.520486712139129448e-01,-1.350243838471329449e-01,-9.143597940701518878e-01,6.011470432554233412e-06,6.432483758267437679e+01
3.959999999999999964e+00,-1.596820371870184862e-04,-7.154183083969104396e-05,-4.996484385189418594e-04,-2.922629192729275238e-01,-1.309416181035413240e-01,-9.144967951572285925e-01,4.305524825554130075e-06,6.356899338140208755e+01
3.979999999999999982e+00,-1.150219068755070851e-04,-6.855611266113005771e-05,-4.937990600559698066e-04,-2.126572677574312675e-01,-1.267493819448320957e-01,-9.129561644839259138e-01,9.949685519927697896e-07,6.282479295220965554e+01
4.000000000000000000e+00,-1.136943133378320799e-04,-6.521482258830006359e-05,-4.844510996454959566e-04,-2.105155737555479689e-01,-1.207512969777881223e-01,-8.970061756329031910e-01,5.575948591740598204e-07,6.163547596269579998e+01
